Separation S1-S2,Separation S2-S3,X-corr,tick
46.0,47.0,0.9872329750160836,2.0
47.0,47.0,0.9877765907079761,2.0
48.0,47.0,0.9883131308214907,2.0
49.0,47.0,0.988840827696831,2.0
50.0,47.0,0.9893579136741992,2.0
51.0,47.0,0.9898624391930989,2.0
52.0,47.0,0.9903517270902286,2.0
53.0,47.0,0.9908229183015862,2.0
54.0,47.0,0.9912731537631695,2.0
55.0,47.0,0.9916995744109769,2.0
56.0,47.0,0.992100489818524,2.0
57.0,47.0,0.9924788841093959,2.0
58.0,47.0,0.9928389100446955,2.0
59.0,47.0,0.9931847203855257,2.0
60.0,47.0,0.9935204678929899,2.0
61.0,47.0,0.9938488136277257,2.0
62.0,47.0,0.9941664518485087,2.0
63.0,47.0,0.9944685851136505,2.0
64.0,47.0,0.9947504159814614,2.0
65.0,47.0,0.9950071470102528,1.0
66.0,47.0,0.9952353787197517,1.0
67.0,47.0,0.9954373034753502,1.0
68.0,47.0,0.9956165116038563,1.0
69.0,47.0,0.9957765934320779,1.0
70.0,47.0,0.9959211392868239,1.0
71.0,47.0,0.9960528153125889,1.0
72.0,47.0,0.9961705909246157,1.0
73.0,47.0,0.9962725113558328,1.0
74.0,47.0,0.9963566218391693,1.0
75.0,47.0,0.996420967607555,1.0
76.0,47.0,0.9964645522690215,1.0
77.0,47.0,0.9964902129320112,1.0
78.0,47.0,0.9965017450800693,1.0
79.0,47.0,0.9965029441967409,1.0
80.0,47.0,0.9964976057655717,1.0
81.0,47.0,0.9964885862919195,1.0
82.0,47.0,0.9964749863683955,1.0
83.0,47.0,0.9964549676094228,1.0
84.0,47.0,0.9964266916294248,1.0
85.0,47.0,0.9963883200428255,1.0
86.0,47.0,0.9963387077570125,1.0
87.0,47.0,0.9962794828512267,1.0
88.0,47.0,0.9962129666976736,1.0
89.0,47.0,0.9961414806685576,1.0
90.0,47.0,0.9960673461360847,1.0
91.0,47.0,0.9959921837595245,1.0
92.0,47.0,0.9959148113464084,1.0
93.0,47.0,0.9958333459913317,1.0
94.0,47.0,0.9957459047888905,1.0
95.0,47.0,0.9956506048336813,1.0
96.0,47.0,0.9955462245486287,1.0
97.0,47.0,0.9954341876699778,1.0
98.0,47.0,0.9953165792623011,1.0
99.0,47.0,0.9951954843901726,1.0
100.0,47.0,0.9950729881181655,1.0
101.0,47.0,0.9949507928498811,2.0
102.0,47.0,0.9948290703450313,2.0
103.0,47.0,0.9947076097023544,2.0
104.0,47.0,0.9945862000205896,2.0
105.0,47.0,0.9944646303984764,2.0
106.0,47.0,0.9943426714602546,2.0
107.0,47.0,0.9942200199321675,2.0
108.0,47.0,0.994096354065959,2.0
109.0,47.0,0.9939713521133741,2.0
110.0,47.0,0.9938446923261574,2.0
111.0,47.0,0.9937161660548408,2.0
112.0,47.0,0.9935860170451051,2.0
113.0,47.0,0.9934546021414202,2.0
114.0,47.0,0.9933222781882552,2.0
115.0,47.0,0.9931894020300791,2.0
116.0,47.0,0.9930563305113612,2.0
117.0,47.0,0.992923420476571,2.0
118.0,47.0,0.9927910287701773,2.0
119.0,47.0,0.9926595122366493,2.0
120.0,47.0,0.9925292277204564,2.0
40.0,48.0,0.9846642087627516,2.0
41.0,48.0,0.9851728454330987,2.0
42.0,48.0,0.9856896015628587,2.0
43.0,48.0,0.9862120243560963,2.0
44.0,48.0,0.9867376610168779,2.0
45.0,48.0,0.9872640587492681,2.0
46.0,48.0,0.9877887647573338,2.0
47.0,48.0,0.9883093262451396,2.0
48.0,48.0,0.9888232904167515,2.0
49.0,48.0,0.9893282044762356,2.0
50.0,48.0,0.9898216156276565,2.0
51.0,48.0,0.9903011540875888,2.0
52.0,48.0,0.9907647821226413,2.0
53.0,48.0,0.9912105450119312,2.0
54.0,48.0,0.9916364880345739,2.0
